datetime: 2014-01-01 01:00:00 ,level: 13 ,nearest: |[0.03151, 0.04395]| ,std: 4.0259449039136159 ,rms: nan
datetime: 2014-01-01 01:00:00 ,level: 14 ,nearest: |[0.01575, 0.02197]| ,std: 4.0259500426905888 ,rms: nan
datetime: 2014-01-01 01:00:00 ,level: 15 ,nearest: |[0.00788, 0.01099]| ,std: 4.026096299464716 ,rms: nan
datetime: 2014-01-01 01:00:00 ,level: 16 ,nearest: |[0.00394, 0.00549]| ,std: 4.0260225775438636 ,rms: nan
datetime: 2014-01-01 01:00:00 ,level: 17 ,nearest: |[0.00197, 0.00275]| ,std: 4.0260293876955506 ,rms: nan
datetime: 2014-01-01 01:00:00 ,level: 18 ,nearest: |[0.00098, 0.00137]| ,std: 4.0260316177588917 ,rms: nan
datetime: 2014-01-01 01:00:00 ,level: 6 ,nearest: |[4.0882, 5.625]| ,std: 4.170609464260731 ,rms: nan
datetime: 2014-01-01 01:00:00 ,level: 7 ,nearest: |[2.0441, 2.8125]| ,std: 3.8863398417769708 ,rms: nan
datetime: 2014-01-01 01:00:00 ,level: 8 ,nearest: |[1.0146, 1.40625]| ,std: 4.8109720530626472 ,rms: nan
datetime: 2014-01-01 01:00:00 ,level: 9 ,nearest: |[0.50541, 0.70312]| ,std: 5.1490483556886053 ,rms: nan
datetime: 2014-01-01 01:00:00 ,level: 10 ,nearest: |[0.25223, 0.35156]| ,std: 5.1349312545988335 ,rms: nan
datetime: 2014-01-01 01:00:00 ,level: 11 ,nearest: |[0.12612, 0.17578]| ,std: 5.1328225091247672 ,rms: nan
datetime: 2014-01-01 01:00:00 ,level: 12 ,nearest: |[0.06303, 0.08789]| ,std: 5.1356199074696294 ,rms: nan
datetime: 2014-01-01 01:00:00 ,level: 13 ,nearest: |[0.03151, 0.04395]| ,std: 5.1356338373968979 ,rms: 14.137834017264932
datetime: 2014-01-01 01:00:00 ,level: 14 ,nearest: |[0.01575, 0.02197]| ,std: 5.1358773707539829 ,rms: 14.59325241210578
datetime: 2014-01-01 01:00:00 ,level: 15 ,nearest: |[0.00788, 0.01099]| ,std: 5.1358388291748751 ,rms: 13.800116736134509
datetime: 2014-01-01 01:00:00 ,level: 16 ,nearest: |[0.00394, 0.00549]| ,std: 5.1358294321314144 ,rms: 14.022201881050716
datetime: 2014-01-01 01:00:00 ,level: 17 ,nearest: |[0.00197, 0.00275]| ,std: 5.1358244722142983 ,rms: 14.148279380399524
datetime: 2014-01-01 01:00:00 ,level: 18 ,nearest: |[0.00098, 0.00137]| ,std: 5.1358242345268819 ,rms: 14.128344674966787
datetime: 2014-01-01 01:00:00 ,level: 6 ,nearest: |[4.0882, 5.625]| ,std: 3.9801453043005104 ,rms: nan
datetime: 2014-01-01 01:00:00 ,level: 7 ,nearest: |[2.0441, 2.8125]| ,std: 3.902465068168449 ,rms: 33.55129179416479
datetime: 2014-01-01 01:00:00 ,level: 8 ,nearest: |[1.0146, 1.40625]| ,std: 4.2955072114576494 ,rms: nan
datetime: 2014-01-01 01:00:00 ,level: 9 ,nearest: |[0.50541, 0.70312]| ,std: 4.5643908757863718 ,rms: 14.718290096598722
datetime: 2014-01-01 01:00:00 ,level: 10 ,nearest: |[0.25223, 0.35156]| ,std: 4.5857478668194434 ,rms: 17.997821580220197
datetime: 2014-01-01 01:00:00 ,level: 11 ,nearest: |[0.12612, 0.17578]| ,std: 4.5785925218446657 ,rms: 16.274594622099194
datetime: 2014-01-01 01:00:00 ,level: 12 ,nearest: |[0.06303, 0.08789]| ,std: 4.5822763208193438 ,rms: 16.010575046080994
datetime: 2014-01-01 01:00:00 ,level: 13 ,nearest: |[0.03151, 0.04395]| ,std: 4.5822701273873374 ,rms: 14.822563010270253
datetime: 2014-01-01 01:00:00 ,level: 14 ,nearest: |[0.01575, 0.02197]| ,std: 4.5825256580756095 ,rms: 14.235332351249635
datetime: 2014-01-01 01:00:00 ,level: 15 ,nearest: |[0.00788, 0.01099]| ,std: 4.582486384657507 ,rms: 14.252753286755313
datetime: 2014-01-01 01:00:00 ,level: 16 ,nearest: |[0.00394, 0.00549]| ,std: 4.5824773402287242 ,rms: 14.027059606256291
datetime: 2014-01-01 01:00:00 ,level: 17 ,nearest: |[0.00197, 0.00275]| ,std: 4.5824715061682335 ,rms: 14.048180511369646
datetime: 2014-01-01 01:00:00 ,level: 18 ,nearest: |[0.00098, 0.00137]| ,std: 4.582471454631718 ,rms: 14.017819957438453
datetime: 2014-01-01 01:00:00 ,level: 6 ,nearest: |[4.0882, 5.625]| ,std: 4.170609464260731 ,rms: nan
datetime: 2014-01-01 01:00:00 ,level: 7 ,nearest: |[2.0441, 2.8125]| ,std: 4.0102074233951157 ,rms: nan
